Feature,Importance
MSFT,0.1742904578236433
AAPL,0.11923041621812436
GOOGL,0.09053253498737623
TSLA_ma_5,0.07147841563528551
AMZN,0.06664641592177496
AMZN_volatility_5,0.061242563768044225
MSFT_volatility_5,0.0387899254625599
AAPL_volatility_5,0.02938218286857029
MSFT_lag_3,0.02836549596351714
GOOGL_volatility_5,0.02610208408267548
AAPL_lag_1,0.024033643788773724
AAPL_lag_3,0.022790995155571328
TSLA_lag_1,0.020367983707420607
TSLA_ma_10,0.018401929230898763
MSFT_lag_2,0.016584554566589495
AMZN_ma_5,0.0162518591452615
AMZN_lag_1,0.01542939982251707
AMZN_ma_10,0.014185929795613804
AAPL_ma_10,0.013711810225955835
TSLA_lag_2,0.013325215641907175
TSLA_volatility_5,0.012726092694334801
GOOGL_ma_10,0.012291742683169458
MSFT_lag_1,0.009930437101175601
TSLA_lag_3,0.009868055146529034
AAPL_lag_2,0.00928226187469396
MSFT_ma_5,0.008847670149517593
GOOGL_lag_2,0.00859936080456801
AMZN_lag_3,0.007779118602430867
AAPL_ma_5,0.007580645849676822
GOOGL_ma_5,0.00744758338706917
GOOGL_lag_1,0.006942178595535309
MSFT_ma_10,0.006717984266973268
GOOGL_lag_3,0.006486045614475149
AMZN_lag_2,0.004357009417770232
